Αὐλίδι	*au)li/di	Αὐλίς	*au)li/s	n-s---fd-
πρίν	pri/n	πρίν	pri/n	d--------
πρό	pro/	πρό	pro/	r--------
πρόθυμον	pro/qumon	πρόθυμος	pro/qumos	n-s---ma-
πρόθυμον	pro/qumon	πρόθυμος	pro/qumos	n-s---fa-
πρόθυμον	pro/qumon	πρόθυμος	pro/qumos	n-s---nn-
πρόθυμον	pro/qumon	πρόθυμος	pro/qumos	n-s---nv-
πρόθυμον	pro/qumon	πρόθυμος	pro/qumos	n-s---na-
πρόθυμος	pro/qumos	πρόθυμος	pro/qumos	n-s---mn-
πρόθυμος	pro/qumos	πρόθυμος	pro/qumos	n-s---fn-
πρός	pro/s	πρός	pro/s	r--------
πρόσαντες	pro/santes	πρόσ-ἄντομαι	pro/s-a)/ntomai	v2siia---
πρόσθεν	pro/sqen	πρόσθεν	pro/sqen	d--------
πρόσθες	pro/sqes	προστίθημι	prosti/qhmi	v2sama---
πρόσθες	pro/sqes	προστίθημι	prosti/qhmi	v2saia---
πρόσπολοι	pro/spoloi	πρόσπολος	pro/spolos	n-p---mn-
πρόσπολοι	pro/spoloi	πρόσπολος	pro/spolos	n-p---mv-
πρόσπολον	pro/spolon	πρόσπολος	pro/spolos	n-s---ma-
πρόσφαγμα	pro/sfagma	πρόσφαγμα	pro/sfagma	n-s---nn-
πρόσφαγμα	pro/sfagma	πρόσφαγμα	pro/sfagma	n-s---nv-
πρόσφαγμα	pro/sfagma	πρόσφαγμα	pro/sfagma	n-s---na-
πρόσω	pro/sw	πρόσω	pro/sw	d--------
πρόσωπον	pro/swpon	πρόσωπον	pro/swpon	n-s---nn-
πρόσωπον	pro/swpon	πρόσωπον	pro/swpon	n-s---nv-
πρόσωπον	pro/swpon	πρόσωπον	pro/swpon	n-s---na-
πρότονοι	pro/tonoi	πρότονοι	pro/tonoi	n-p---mn-
πρότονοι	pro/tonoi	πρότονοι	pro/tonoi	n-p---mv-
πρύμναν	pru/mnan	πρύμνα	pru/mna	n-s---fa-
πρύμναν	pru/mnan	πρύμνα	pru/mna	n-s---fa-
πρύμνηθεν	pru/mnhqen	πρύμνηθεν	pru/mnhqen	d--------
πρύμνης	pru/mnhs	πρύμνα	pru/mna	n-s---fg-
πρύμνης	pru/mnhs	πρύμνα	pru/mna	n-s---fg-
πρᾶγμ’	pra=gm'	πρᾶγμα	pra=gma	n-s---nn-
πρᾶγμ’	pra=gm'	πρᾶγμα	pra=gma	n-s---nv-
πρᾶγμ’	pra=gm'	πρᾶγμα	pra=gma	n-s---na-
πρᾶσσ’	pra=ss'	πράσσω	pra/ssw	v2spma---
