urn:cite2:hmt:lsj.chicago_md:n245	ἀγαθοδαίμων; the good Genius; an Egyptian serpent, Hist.Aug.Elag; propitious region
urn:cite2:hmt:lsj.chicago_md:n246	ἀγαθοδοσία; the giving of good
urn:cite2:hmt:lsj.chicago_md:n247	ἀγαθοδότης; the giver of good
urn:cite2:hmt:lsj.chicago_md:n248	ἀγαθοειδής; like good, seeming good; having the form of good
urn:cite2:hmt:lsj.chicago_md:n249	ἀγαθοεργασία
urn:cite2:hmt:lsj.chicago_md:n250	ἀγαθοεργέω; do good; well
urn:cite2:hmt:lsj.chicago_md:n251	ἀγαθοεργία; good deed, service; beneficence
urn:cite2:hmt:lsj.chicago_md:n252	ἀγαθοεργός; doing good; Commissioners sent on foreign service
urn:cite2:hmt:lsj.chicago_md:n253	ἀγαθοθέλεια; desire of good
urn:cite2:hmt:lsj.chicago_md:n254	ἀγαθοθελής; benevolent
urn:cite2:hmt:lsj.chicago_md:n255	ἀγαθολογέω; use fair words
urn:cite2:hmt:lsj.chicago_md:n256	ἀγαθοποιέω; do good; do good to; make good; make favourable; exert beneficent influence; do well, act rightly
urn:cite2:hmt:lsj.chicago_md:n257	ἀγαθοποίησις; well-doing
urn:cite2:hmt:lsj.chicago_md:n258	ἀγαθοποιία; propitious influence
urn:cite2:hmt:lsj.chicago_md:n259	ἀγαθοποιός; beneficent; exerting beneficent influence; creating the Good
urn:cite2:hmt:lsj.chicago_md:n260	ἀγαθός; good; well-born, gentle; aristocrats; brave, valiant; good, capable; …[17 omitted]… good qualities; good points; admirable
urn:cite2:hmt:lsj.chicago_md:n261	ἀγάθοσμον
urn:cite2:hmt:lsj.chicago_md:n262	ἀγαθοσύμβουλος; benesuasor
urn:cite2:hmt:lsj.chicago_md:n263	ἀγαθότης; goodness
urn:cite2:hmt:lsj.chicago_md:n264	ἀγαθοτυχέω; occupy the house of
urn:cite2:hmt:lsj.chicago_md:n265	ἀγαθουργέω
urn:cite2:hmt:lsj.chicago_md:n266	ἀγαθοφανής; appearing good, hypocritical
urn:cite2:hmt:lsj.chicago_md:n267	ἀγαθοφόρος; bearing good tidings; Cat. Cod.Astr
urn:cite2:hmt:lsj.chicago_md:n268	ἀγαθόφρων; well-disposed
urn:cite2:hmt:lsj.chicago_md:n269	ἀγαθόω; do good to; make good
urn:cite2:hmt:lsj.chicago_md:n270	ἀγάθυνσις; making good
